area;value
Aa en Hunze;31
Aalburg;13
Aalsmeer;13
Aalten;22
Achtkarspelen;28
Alblasserdam;16
Albrandswaard;19
Alkmaar;27
Almelo;34
Almere;16
Alphen aan den Rijn;24
Alphen-Chaam;11
Ameland;0
Amersfoort;19
Amstelveen;13
Amsterdam;15
Apeldoorn;31
Appingedam;44
Arnhem;37
Assen;37
Asten;14
Baarle-Nassau;20
Baarn;53
Barendrecht;14
Barneveld;18
Bedum;48
Beek (L.);19
Beemster;32
Beesel;19
Bellingwedde;33
Bergambacht;13
Bergeijk;16
Bergen (L.);20
Bergen (NH.);26
Bergen op Zoom;22
Berkelland;23
Bernheze;15
Bernisse;15
Best;13
Beuningen;16
Beverwijk;22
het Bildt;18
De Bilt;15
Binnenmaas;13
Bladel;19
Blaricum;0
Bloemendaal;13
Bodegraven-Reeuwijk;14
Boekel;24
Ten Boer;13
Borger-Odoorn;21
Borne;26
Borsele;17
Boxmeer;19
Boxtel;20
Breda;18
Brielle;15
Bronckhorst;20
Brummen;24
Brunssum;32
Bunnik;12
Bunschoten;17
Buren;11
Bussum;16
Capelle aan den IJssel;19
Castricum;19
Coevorden;21
Cranendonck;16
Cromstrijen;11
Cuijk;21
Culemborg;19
Dalfsen;18
Dantumadiel;32
Delft;17
Delfzijl;24
Deurne;26
Deventer;29
Diemen;13
Dinkelland;18
Doesburg;30
Doetinchem;36
Dongen;15
Dongeradeel;35
Dordrecht;21
Drechterland;20
Drimmelen;21
Dronten;20
Druten;36
Duiven;19
Echt-Susteren;31
Edam-Volendam;10
Ede;27
Eemnes;16
Eemsmond;34
Eersel;35
Eijsden-Margraten;18
Eindhoven;19
Elburg;25
Emmen;29
Enkhuizen;34
Enschede;34
Epe;25
Ermelo;49
Etten-Leur;18
Ferwerderadiel;25
Franekeradeel;28
De Friese Meren;0
Geertruidenberg;14
Geldermalsen;16
Geldrop-Mierlo;17
Gemert-Bakel;20
Gennep;62
Giessenlanden;11
Gilze en Rijen;14
Goeree-Overflakkee;22
Goes;29
Goirle;16
Gorinchem;23
Gouda;22
Graft-De Rijp;0
Grave;24
's-Gravenhage (gemeente);17
Groesbeek;41
Groningen (gemeente);27
Grootegast;20
Gulpen-Wittem;19
Haaksbergen;18
Haaren;40
Haarlem;18
Haarlemmerliede en Spaarnwoude;0
Haarlemmermeer;14
Halderberge;13
Hardenberg;30
Harderwijk;23
Hardinxveld-Giessendam;13
Haren;23
Harlingen;19
Hattem;17
Heemskerk;22
Heemstede;27
Heerde;23
Heerenveen;30
Heerhugowaard;33
Heerlen;37
Heeze-Leende;26
Heiloo;22
Den Helder;41
Hellendoorn;22
Hellevoetsluis;16
Helmond;19
Hendrik-Ido-Ambacht;10
Hengelo (O.);30
's-Hertogenbosch;23
Heumen;22
Heusden;16
Hillegom;18
Hilvarenbeek;16
Hilversum;18
Hof van Twente;18
Hollands Kroon;16
Hoogeveen;32
Hoogezand-Sappemeer;49
Hoorn;31
Horst aan de Maas;16
Houten;16
Huizen;19
Hulst;31
IJsselstein;15
Kaag en Braassem;12
Kampen;29
Kapelle;11
Katwijk;18
Kerkrade;37
Koggenland;17
Kollumerland en Nieuwkruisland;33
Korendijk;10
Krimpen aan den IJssel;15
Laarbeek;17
Landerd;19
Landgraaf;34
Landsmeer;9
Langedijk;17
Lansingerland;9
Laren (NH.);10
Leek;37
Leerdam;24
Leeuwarden;29
Leeuwarderadeel;38
Leiden;19
Leiderdorp;16
Leidschendam-Voorburg;15
Lelystad;28
Leudal;18
Leusden;13
Lingewaal;13
Lingewaard;19
Lisse;11
Littenseradiel;19
Lochem;21
Loon op Zand;13
Lopik;14
Loppersum;26
Losser;35
Maasdonk;9
Maasdriel;13
Maasgouw;42
Maassluis;19
Maastricht;27
De Marne;23
Marum;27
Medemblik;27
Meerssen;19
Menameradiel;12
Menterwolde;29
Meppel;28
Middelburg (Z.);23
Midden-Delfland;8
Midden-Drenthe;22
Mill en Sint Hubert;17
Millingen aan de Rijn;18
Moerdijk;12
Molenwaard;11
Montferland;24
Montfoort;9
Mook en Middelaar;17
Muiden;0
Naarden;10
Neder-Betuwe;18
Nederlek;15
Nederweert;19
Neerijnen;12
Nieuwegein;18
Nieuwkoop;33
Nijkerk;18
Nijmegen;28
Noord-Beveland;13
Noordenveld;23
Noordoostpolder;22
Noordwijk;33
Noordwijkerhout;22
Nuenen, Gerwen en Nederwetten;13
Nunspeet;26
Nuth;19
Oegstgeest;18
Oirschot;10
Oisterwijk;19
Oldambt;38
Oldebroek;20
Oldenzaal;26
Olst-Wijhe;33
Ommen;28
Onderbanken;19
Oost Gelre;21
Oosterhout;15
Ooststellingwerf;37
Oostzaan;12
Opmeer;17
